,abv,ibu,id,beer_name,style,brewery_id,brewery_name,city,state
0,0.05,,1436,Pub Beer,American Pale Lager,408,10 Barrel Brewing Company,Bend, OR
1,0.066,,2265,Devil's Cup,American Pale Ale (APA),177,18th Street Brewery,Gary, IN
2,0.071,,2264,Rise of the Phoenix,American IPA,177,18th Street Brewery,Gary, IN
3,0.09,,2263,Sinister,American Double / Imperial IPA,177,18th Street Brewery,Gary, IN
4,0.075,,2262,Sex and Candy,American IPA,177,18th Street Brewery,Gary, IN
5,0.077,,2261,Black Exodus,Oatmeal Stout,177,18th Street Brewery,Gary, IN
6,0.045,,2260,Lake Street Express,American Pale Ale (APA),177,18th Street Brewery,Gary, IN
7,0.065,,2259,Foreman,American Porter,177,18th Street Brewery,Gary, IN
8,0.055,,2258,Jade,American Pale Ale (APA),177,18th Street Brewery,Gary, IN
9,0.086,,2131,Cone Crusher,American Double / Imperial IPA,177,18th Street Brewery,Gary, IN
10,0.07200000000000001,,2099,Sophomoric Saison,Saison / Farmhouse Ale,177,18th Street Brewery,Gary, IN
11,0.073,,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,177,18th Street Brewery,Gary, IN
12,0.069,,2097,Garce Selé,Saison / Farmhouse Ale,177,18th Street Brewery,Gary, IN
13,0.085,,1980,Troll Destroyer,Belgian IPA,177,18th Street Brewery,Gary, IN
14,0.061,60.0,1979,Bitter Bitch,American Pale Ale (APA),177,18th Street Brewery,Gary, IN
15,0.06,,2318,Ginja Ninja,Cider,154,2 Towns Ciderhouse,Corvallis, OR
16,0.06,,2170,Cherried Away,Cider,154,2 Towns Ciderhouse,Corvallis, OR
17,0.06,,2169,Rhubarbarian,Cider,154,2 Towns Ciderhouse,Corvallis, OR
18,0.06,,1502,BrightCider,Cider,154,2 Towns Ciderhouse,Corvallis, OR
19,0.08199999999999999,,1593,He Said Baltic-Style Porter,Baltic Porter,368,21st Amendment Brewery,San Francisco, CA
20,0.08199999999999999,,1592,He Said Belgian-Style Tripel,Tripel,368,21st Amendment Brewery,San Francisco, CA
21,0.099,92.0,1036,Lower De Boom,American Barleywine,368,21st Amendment Brewery,San Francisco, CA
22,0.079,45.0,1024,Fireside Chat,Winter Warmer,368,21st Amendment Brewery,San Francisco, CA
23,0.079,,976,Marooned On Hog Island,American Stout,368,21st Amendment Brewery,San Francisco, CA
24,0.044,42.0,876,Bitter American,American Pale Ale (APA),368,21st Amendment Brewery,San Francisco, CA
25,0.049,17.0,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,21st Amendment Brewery,San Francisco, CA
26,0.049,17.0,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,21st Amendment Brewery,San Francisco, CA
27,0.049,17.0,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,21st Amendment Brewery,San Francisco, CA
28,0.07,70.0,799,21st Amendment IPA (2006),American IPA,368,21st Amendment Brewery,San Francisco, CA
29,0.07,70.0,797,Brew Free! or Die IPA (2008),American IPA,368,21st Amendment Brewery,San Francisco, CA
30,0.07,70.0,796,Brew Free! or Die IPA (2009),American IPA,368,21st Amendment Brewery,San Francisco, CA
31,0.085,52.0,531,Special Edition: Allies Win The War!,English Strong Ale,368,21st Amendment Brewery,San Francisco, CA
32,0.097,94.0,432,Hop Crisis,American Double / Imperial IPA,368,21st Amendment Brewery,San Francisco, CA
33,0.044,42.0,353,Bitter American (2011),American Pale Ale (APA),368,21st Amendment Brewery,San Francisco, CA
34,0.079,45.0,321,Fireside Chat (2010),Winter Warmer,368,21st Amendment Brewery,San Francisco, CA
35,0.068,65.0,173,Back in Black,American Black Ale,368,21st Amendment Brewery,San Francisco, CA
36,0.083,35.0,11,Monk's Blood,Belgian Dark Ale,368,21st Amendment Brewery,San Francisco, CA
37,0.07,65.0,10,Brew Free! or Die IPA,American IPA,368,21st Amendment Brewery,San Francisco, CA
38,0.049,17.0,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,21st Amendment Brewery,San Francisco, CA
39,0.07,82.0,2519,Bimini Twist,American IPA,67,3 Daughters Brewing,St Petersburg, FL
40,0.05,,2518,Beach Blonde,American Blonde Ale,67,3 Daughters Brewing,St Petersburg, FL
41,0.059,,2517,Rod Bender Red,American Amber / Red Ale,67,3 Daughters Brewing,St Petersburg, FL
42,0.035,11.0,2545,Passion Fruit Prussia,Berliner Weissbier,60,4 Hands Brewing Company,Saint Louis, MO
43,0.045,18.0,2544,Send Help,American Blonde Ale,60,4 Hands Brewing Company,Saint Louis, MO
44,0.055,,2324,Cast Iron Oatmeal Brown,American Brown Ale,60,4 Hands Brewing Company,Saint Louis, MO
45,0.06,,2288,Reprise Centennial Red,American Amber / Red Ale,60,4 Hands Brewing Company,Saint Louis, MO
46,0.055,,2287,Alter Ego,American Black Ale,60,4 Hands Brewing Company,Saint Louis, MO
47,0.065,,2286,Divided Sky,American IPA,60,4 Hands Brewing Company,Saint Louis, MO
48,0.065,,2285,Resurrected,American IPA,60,4 Hands Brewing Company,Saint Louis, MO
49,0.05,28.0,1870,Contact High,American Pale Wheat Ale,60,4 Hands Brewing Company,Saint Louis, MO
50,0.065,,2603,Galaxyfest,American IPA,27,450 North Brewing Company,Columbus, IN
51,0.05,45.0,2602,Citrafest,American IPA,27,450 North Brewing Company,Columbus, IN
52,0.09,,2220,Barn Yeti,Belgian Strong Dark Ale,27,450 North Brewing Company,Columbus, IN
53,0.069,65.0,2219,Scarecrow,American IPA,27,450 North Brewing Company,Columbus, IN
54,0.09,50.0,2218,Ironman,English Strong Ale,27,450 North Brewing Company,Columbus, IN
55,0.046,15.0,2217,Honey Kolsch,Kölsch,27,450 North Brewing Company,Columbus, IN
56,0.052000000000000005,18.0,2216,Copperhead Amber,Belgian Dark Ale,27,450 North Brewing Company,Columbus, IN
57,0.059,75.0,972,Rude Parrot IPA,American IPA,481,7 Seas Brewing Company,Gig Harbor, WA
